age,gender,race,marital_status,occupation,work_class,final_weight,education,education_num,relationship,capital_gain,capital_loss,hours_per_week,native_country,class
"(35, 40)",Male,*,*,Adm-clerical,State-gov,77516,Bachelors,13,Not-in-family,2174,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Handlers-cleaners,Private,215646,HS-grad,9,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,280464,Some-college,10,Husband,0,0,80,United-States,>50K
"(35, 40)",Male,*,*,Sales,Private,28887,11th,7,Husband,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Farming-fishing,Federal-gov,76845,9th,5,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,367260,HS-grad,9,Not-in-family,0,0,80,United-States,<=50K
"(35, 40)",Male,*,*,Other-service,Private,56352,Assoc-voc,11,Husband,0,0,40,Puerto-Rico,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,155537,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,202683,Some-college,10,Husband,0,0,48,United-States,>50K
"(35, 40)",Male,*,*,Prof-specialty,Private,65324,Prof-school,15,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,365739,Some-college,10,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Self-emp-not-inc,120985,HS-grad,9,Husband,4386,0,35,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,254202,Bachelors,13,Husband,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Prof-specialty,Federal-gov,125933,Masters,14,Husband,0,0,40,Iran,>50K
"(35, 40)",Male,*,*,Exec-managerial,Federal-gov,235485,Assoc-acdm,12,Not-in-family,0,0,42,United-States,<=50K
"(35, 40)",Male,*,*,Adm-clerical,Federal-gov,29054,Some-college,10,Husband,0,0,42,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,99374,Some-college,10,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Prof-specialty,Private,138992,Masters,14,Other-relative,7298,0,40,United-States,>50K
"(35, 40)",Male,*,*,Other-service,Private,128757,Bachelors,13,Husband,7298,0,36,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,36270,HS-grad,9,Not-in-family,0,0,60,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,208358,HS-grad,9,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Private,635913,Bachelors,13,Not-in-family,0,0,60,United-States,>50K
"(35, 40)",Male,*,*,Sales,Private,182609,Bachelors,13,Husband,0,0,50,Poland,<=50K
"(35, 40)",Male,*,*,Transport-moving,Private,538583,11th,7,Not-in-family,3674,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Local-gov,115076,Masters,14,Husband,0,0,70,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,179488,Some-college,10,Not-in-family,0,1741,40,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Self-emp-inc,257295,Some-college,10,Husband,0,0,75,Thailand,>50K
"(35, 40)",Male,*,*,Prof-specialty,Private,200352,Bachelors,13,Husband,0,0,45,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,169469,HS-grad,9,Not-in-family,0,0,80,United-States,<=50K
"(35, 40)",Male,*,*,Adm-clerical,Private,193815,Assoc-acdm,12,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Self-emp-not-inc,174308,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Transport-moving,Private,186110,HS-grad,9,Not-in-family,0,0,45,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,296478,Assoc-voc,11,Husband,7298,0,40,United-States,>50K
"(35, 40)",Male,*,*,Protective-serv,State-gov,119272,HS-grad,9,Husband,7298,0,40,United-States,>50K
"(35, 40)",Male,*,*,Adm-clerical,Federal-gov,95432,HS-grad,9,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Sales,Private,172927,HS-grad,9,Husband,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,92440,12th,8,Not-in-family,0,0,50,United-States,>50K
"(35, 40)",Male,*,*,Prof-specialty,Federal-gov,255191,Masters,14,Not-in-family,0,1408,40,United-States,<=50K
"(35, 40)",Male,*,*,Transport-moving,Private,351299,Some-college,10,Husband,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Transport-moving,Private,33983,Some-college,10,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,285020,HS-grad,9,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,91039,Bachelors,13,Husband,15024,0,60,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Self-emp-inc,99146,Bachelors,13,Husband,15024,0,80,United-States,>50K
"(35, 40)",Male,*,*,Tech-support,Local-gov,186035,Some-college,10,Husband,0,0,45,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Self-emp-not-inc,190387,HS-grad,9,Husband,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Other-service,Private,197202,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Tech-support,Local-gov,207853,12th,8,Husband,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Protective-serv,Local-gov,233327,Some-college,10,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Machine-op-inspct,Private,54576,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,22463,Assoc-voc,11,Husband,0,1977,40,United-States,>50K
"(35, 40)",Male,*,*,Farming-fishing,Self-emp-not-inc,194404,Assoc-acdm,12,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Local-gov,339772,HS-grad,9,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Handlers-cleaners,Private,207824,HS-grad,9,Own-child,0,0,60,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Self-emp-not-inc,267556,HS-grad,9,Husband,0,0,64,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,188563,Some-college,10,Husband,5178,0,50,United-States,>50K
"(35, 40)",Male,*,*,Prof-specialty,Private,292472,Doctorate,16,Husband,0,0,40,Taiwan,>50K
"(35, 40)",Male,*,*,Sales,Private,261293,Masters,14,Not-in-family,0,0,60,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,161141,Assoc-voc,11,Husband,0,0,40,Portugal,>50K
"(35, 40)",Male,*,*,Prof-specialty,Private,203628,Masters,14,Not-in-family,0,0,60,United-States,>50K
"(35, 40)",Male,*,*,Prof-specialty,Local-gov,110866,Bachelors,13,Not-in-family,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,234901,Some-college,10,Husband,2407,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Handlers-cleaners,Private,48093,HS-grad,9,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Farming-fishing,Private,103408,HS-grad,9,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Farming-fishing,Private,327323,5th-6th,3,Not-in-family,0,0,32,Guatemala,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,135162,Some-college,10,Husband,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,86551,Bachelors,13,Husband,0,0,45,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,138192,Bachelors,13,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Farming-fishing,Private,176186,Some-college,10,Husband,0,0,50,United-States,>50K
"(35, 40)",Male,*,*,Transport-moving,Private,117683,HS-grad,9,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Sales,Private,95336,Bachelors,13,Husband,0,0,50,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Self-emp-not-inc,372525,Bachelors,13,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Prof-specialty,Private,183800,Bachelors,13,Husband,7688,0,50,United-States,>50K
"(35, 40)",Male,*,*,Sales,Private,152375,HS-grad,9,Not-in-family,0,0,45,United-States,<=50K
"(35, 40)",Male,*,*,Machine-op-inspct,Private,211154,Some-college,10,Not-in-family,0,0,52,United-States,<=50K
"(35, 40)",Male,*,*,Handlers-cleaners,Self-emp-not-inc,168496,HS-grad,9,Own-child,0,0,10,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,278924,Some-college,10,Not-in-family,0,0,44,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,202027,Bachelors,13,Husband,15024,0,45,United-States,>50K
"(35, 40)",Male,*,*,Machine-op-inspct,Private,214738,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Machine-op-inspct,Private,186934,11th,7,Husband,3103,0,44,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,176900,HS-grad,9,Husband,0,0,99,United-States,>50K
"(35, 40)",Male,*,*,Machine-op-inspct,Private,465507,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Self-emp-inc,196373,HS-grad,9,Husband,0,0,40,United-States,>50K
